STAC Field,MSS 1-3 Field,MSS 4-5 Field,TM Field,ETM+ Field,OLI_TIRS Field,OLI-only Field,TIRS-only Field
,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE
,"  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS"
,"    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey"""
,"    FILE_NAME_BAND_7 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B7.TIF""",,"    FILE_NAME_BAND_7 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_7 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_7 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_7 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B7.TIF""",
,,,,"    FILE_NAME_BAND_8 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B8.TIF""","    FILE_NAME_BAND_8 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B8.TIF""","    FILE_NAME_BAND_8 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B8.TIF""",
,,,,,"    FILE_NAME_BAND_9 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B9.TIF""","    FILE_NAME_BAND_9 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B9.TIF""",
,,,,,"    FILE_NAME_BAND_10 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B10.TIF""",,"    FILE_NAME_BAND_10 = ""LT08_L1GT_015043_20130507_20190828_02_T2_B10.TIF"""
,,,,,"    FILE_NAME_BAND_11 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B11.TIF""",,"    FILE_NAME_BAND_11 = ""LT08_L1GT_015043_20130507_20190828_02_T2_B11.TIF"""
,"    FILE_NAME_QUALITY_L1_PIXEL = ""LM01_L1TP_040030_19720929_20190828_02_T2_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LM04_L1TP_027037_19830415_20200113_02_T2_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LT05_L1TP_047027_20101006_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LE07_L1TP_042027_20050927_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LC08_L1TP_140041_20130503_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LO08_L1TP_067017_20130722_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LT08_L1GT_015043_20130507_20190828_02_T2_QA_PIXEL.TIF"""
,"    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LM01_L1TP_040030_19720929_20190828_02_T2_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LM04_L1TP_027037_19830415_20200113_02_T2_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LT05_L1TP_047027_20101006_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LE07_L1TP_042027_20050927_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LC08_L1TP_140041_20130503_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LO08_L1TP_067017_20130722_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LT08_L1GT_015043_20130507_20190828_02_T2_QA_RADSAT.TIF"""
,"    FILE_NAME_GROUND_CONTROL_POINT = ""LM01_L1TP_040030_19720929_20190828_02_T2_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LM04_L1TP_027037_19830415_20200113_02_T2_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LT05_L1TP_047027_20101006_20190828_02_T1_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LE07_L1TP_042027_20050927_20190828_02_T1_GCP.txt""",,,
,,,"    FILE_NAME_ANGLE_COEFFICIENT = ""LT05_L1TP_047027_20101006_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LE07_L1TP_042027_20050927_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LC08_L1TP_140041_20130503_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LO08_L1TP_067017_20130722_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LT08_L1GT_015043_20130507_20190828_02_T2_ANG.txt"""
,,,"    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SEA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SEA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SEA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SEA.TIF""",
,,,"    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SEZ.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SEZ.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SEZ.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SEZ.TIF""",
,,,"    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SAA.TIF""",
,,,"    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SZA.TIF""",
,"    FILE_NAME_METADATA_ODL = ""LM01_L1TP_040030_19720929_20190828_02_T2_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LM04_L1TP_027037_19830415_20200113_02_T2_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LT05_L1TP_047027_20101006_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LE07_L1TP_042027_20050927_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LC08_L1TP_140041_20130503_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LO08_L1TP_067017_20130722_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LT08_L1GT_015043_20130507_20190828_02_T2_MTL.txt"""
,"    FILE_NAME_METADATA_XML = ""LM01_L1TP_040030_19720929_20190828_02_T2_MTL.xml""","    FILE_NAME_METADATA_XML = ""LM04_L1TP_027037_19830415_20200113_02_T2_MTL.xml""","    FILE_NAME_METADATA_XML = ""LT05_L1TP_047027_20101006_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LE07_L1TP_042027_20050927_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LC08_L1TP_140041_20130503_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LO08_L1TP_067017_20130722_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LT08_L1GT_015043_20130507_20190828_02_T2_MTL.xml"""
,"    FILE_NAME_CPF = ""LM01CPF_19720723_19780107_02.01""","    FILE_NAME_CPF = ""LM04CPF_19830401_19931231_02.01""","    FILE_NAME_CPF = ""LT05CPF_20101001_20101231_02.03""","    FILE_NAME_CPF = ""LE07CPF_20050701_20050930_02.02""","    FILE_NAME_CPF = ""LC08CPF_20130401_20130627_02.01""","    FILE_NAME_CPF = ""LC08CPF_20130701_20130919_02.01""","    FILE_NAME_CPF = ""LC08CPF_20130401_20130627_02.01"""
,,,,,"    FILE_NAME_BPF_OLI = ""LO8BPF20130503042635_20130503044740.01""","    FILE_NAME_BPF_OLI = ""LO8BPF20130722205604_20130722213350.01""",
,,,,,"    FILE_NAME_BPF_TIRS = ""LT8BPF20130503040455_20130503044832.01""",,"    FILE_NAME_BPF_TIRS = ""LT8BPF20130507153530_20130507155825.01"""
,,,,,"    FILE_NAME_RLUT = ""LC08RLUT_20130211_20150302_02_11.h5""","    FILE_NAME_RLUT = ""LC08RLUT_20130211_20150302_02_11.h5""","    FILE_NAME_RLUT = ""LC08RLUT_20130211_20150302_02_11.h5"""
,"    FILE_NAME_VERIFY_REPORT = ""LM01_L1TP_040030_19720929_20190828_02_T2_VER.txt""","    FILE_NAME_VERIFY_REPORT = ""LM04_L1TP_027037_19830415_20200113_02_T2_VER.txt""","    FILE_NAME_VERIFY_REPORT = ""LT05_L1TP_047027_20101006_20190828_02_T1_VER.txt""",,,,
,"    FILE_NAME_VERIFY_BROWSE = ""LM01_L1TP_040030_19720929_20190828_02_T2_VER.jpg""","    FILE_NAME_VERIFY_BROWSE = ""LM04_L1TP_027037_19830415_20200113_02_T2_VER.jpg""","    FILE_NAME_VERIFY_BROWSE = ""LT05_L1TP_047027_20101006_20190828_02_T1_VER.jpg""",,,,
,,,,,"    DATA_SOURCE_TIRS_STRAY_LIGHT_CORRECTION = ""TIRS""",,"    DATA_SOURCE_TIRS_STRAY_LIGHT_CORRECTION = ""TIRS"""
,"    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000""","    DATA_SOURCE_ELEVATION = ""GLS2000"""
,"    GROUND_CONTROL_POINTS_VERSION = 4","    GROUND_CONTROL_POINTS_VERSION = 5","    GROUND_CONTROL_POINTS_VERSION = 4","    GROUND_CONTROL_POINTS_VERSION = 4","    GROUND_CONTROL_POINTS_VERSION = 4","    GROUND_CONTROL_POINTS_VERSION = 4",
,"    GROUND_CONTROL_POINTS_MODEL = 530","    GROUND_CONTROL_POINTS_MODEL = 283","    GROUND_CONTROL_POINTS_MODEL = 747","    GROUND_CONTROL_POINTS_MODEL = 586","    GROUND_CONTROL_POINTS_MODEL = 331","    GROUND_CONTROL_POINTS_MODEL = 333",
,"    GEOMETRIC_RMSE_MODEL = 17.548","    GEOMETRIC_RMSE_MODEL = 20.662","    GEOMETRIC_RMSE_MODEL = 4.566","    GEOMETRIC_RMSE_MODEL = 4.320","    GEOMETRIC_RMSE_MODEL = 8.493","    GEOMETRIC_RMSE_MODEL = 6.571",
,"    GEOMETRIC_RMSE_MODEL_Y = 13.473","    GEOMETRIC_RMSE_MODEL_Y = 12.899","    GEOMETRIC_RMSE_MODEL_Y = 3.226","    GEOMETRIC_RMSE_MODEL_Y = 3.233","    GEOMETRIC_RMSE_MODEL_Y = 6.911","    GEOMETRIC_RMSE_MODEL_Y = 4.300",
,"    GEOMETRIC_RMSE_MODEL_X = 11.244","    GEOMETRIC_RMSE_MODEL_X = 16.141","    GEOMETRIC_RMSE_MODEL_X = 3.232","    GEOMETRIC_RMSE_MODEL_X = 2.865","    GEOMETRIC_RMSE_MODEL_X = 4.936","    GEOMETRIC_RMSE_MODEL_X = 4.968",
,"    GROUND_CONTROL_POINTS_VERIFY = 2449","    GROUND_CONTROL_POINTS_VERIFY = 415","    GROUND_CONTROL_POINTS_VERIFY = 1788",Missing?,"    GROUND_CONTROL_POINTS_VERIFY = 119","    GROUND_CONTROL_POINTS_VERIFY = 120",
,"    GEOMETRIC_RMSE_VERIFY = 0.214","    GEOMETRIC_RMSE_VERIFY = 0.351","    GEOMETRIC_RMSE_VERIFY = 0.234",Missing?,"    GEOMETRIC_RMSE_VERIFY = 6.558","    GEOMETRIC_RMSE_VERIFY = 3.029",
,"    GEOMETRIC_RMSE_VERIFY_QUAD_UL = 0.192","    GEOMETRIC_RMSE_VERIFY_QUAD_UL = 0.322","    GEOMETRIC_RMSE_VERIFY_QUAD_UL = 0.297",Missing?,,,
,"    GEOMETRIC_RMSE_VERIFY_QUAD_UR = 0.214","    GEOMETRIC_RMSE_VERIFY_QUAD_UR = 0.373","    GEOMETRIC_RMSE_VERIFY_QUAD_UR = 0.222",Missing?,,,
,"    GEOMETRIC_RMSE_VERIFY_QUAD_LL = 0.235","    GEOMETRIC_RMSE_VERIFY_QUAD_LL = 0.327","    GEOMETRIC_RMSE_VERIFY_QUAD_LL = 0.236",Missing?,,,
,"    GEOMETRIC_RMSE_VERIFY_QUAD_LR = 0.230","    GEOMETRIC_RMSE_VERIFY_QUAD_LR = 0.376","    GEOMETRIC_RMSE_VERIFY_QUAD_LR = 0.175",Missing?,,,
,"    EPHEMERIS_TYPE = ""PREDICTIVE""","    EPHEMERIS_TYPE = ""PREDICTIVE""","    EPHEMERIS_TYPE = ""DEFINITIVE""","    EPHEMERIS_TYPE = ""DEFINITIVE""",,,
,"  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD","  END_GROUP = LEVEL1_PROCESSING_RECORD"
,"  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE","  GROUP = LEVEL1_MIN_MAX_RADIANCE"
,,"    RADIANCE_MAXIMUM_BAND_1 = 226.100","    RADIANCE_MAXIMUM_BAND_1 = 193.000","    RADIANCE_MAXIMUM_BAND_1 = 191.600","    RADIANCE_MAXIMUM_BAND_1 = 747.90613","    RADIANCE_MAXIMUM_BAND_1 = 736.46912",
,,"    RADIANCE_MINIMUM_BAND_1 = 3.800","    RADIANCE_MINIMUM_BAND_1 = -1.520","    RADIANCE_MINIMUM_BAND_1 = -6.200","    RADIANCE_MINIMUM_BAND_1 = -61.76233","    RADIANCE_MINIMUM_BAND_1 = -60.81786",
,,"    RADIANCE_MAXIMUM_BAND_2 = 161.200","    RADIANCE_MAXIMUM_BAND_2 = 365.000","    RADIANCE_MAXIMUM_BAND_2 = 196.500","    RADIANCE_MAXIMUM_BAND_2 = 765.86499","    RADIANCE_MAXIMUM_BAND_2 = 754.15332",
,,"    RADIANCE_MINIMUM_BAND_2 = 3.700","    RADIANCE_MINIMUM_BAND_2 = -2.840","    RADIANCE_MINIMUM_BAND_2 = -6.400","    RADIANCE_MINIMUM_BAND_2 = -63.24538","    RADIANCE_MINIMUM_BAND_2 = -62.27823",
,,"    RADIANCE_MAXIMUM_BAND_3 = 144.600","    RADIANCE_MAXIMUM_BAND_3 = 264.000","    RADIANCE_MAXIMUM_BAND_3 = 152.900","    RADIANCE_MAXIMUM_BAND_3 = 705.73804","    RADIANCE_MAXIMUM_BAND_3 = 694.94586",
,,"    RADIANCE_MINIMUM_BAND_3 = 5.100","    RADIANCE_MINIMUM_BAND_3 = -1.170","    RADIANCE_MINIMUM_BAND_3 = -5.000","    RADIANCE_MINIMUM_BAND_3 = -58.28008","    RADIANCE_MINIMUM_BAND_3 = -57.38885",
,"    RADIANCE_MAXIMUM_BAND_4 = 225.200","    RADIANCE_MAXIMUM_BAND_4 = 125.300","    RADIANCE_MAXIMUM_BAND_4 = 221.000","    RADIANCE_MAXIMUM_BAND_4 = 241.100","    RADIANCE_MAXIMUM_BAND_4 = 595.11810","    RADIANCE_MAXIMUM_BAND_4 = 586.01752",
,"    RADIANCE_MINIMUM_BAND_4 = -17.600","    RADIANCE_MINIMUM_BAND_4 = 4.300","    RADIANCE_MINIMUM_BAND_4 = -1.510","    RADIANCE_MINIMUM_BAND_4 = -5.100","    RADIANCE_MINIMUM_BAND_4 = -49.14505","    RADIANCE_MINIMUM_BAND_4 = -48.39352",
,"    RADIANCE_MAXIMUM_BAND_5 = 164.600",,"    RADIANCE_MAXIMUM_BAND_5 = 30.200","    RADIANCE_MAXIMUM_BAND_5 = 31.060","    RADIANCE_MAXIMUM_BAND_5 = 364.18259","    RADIANCE_MAXIMUM_BAND_5 = 358.61349",
,"    RADIANCE_MINIMUM_BAND_5 = -0.100",,"    RADIANCE_MINIMUM_BAND_5 = -0.370","    RADIANCE_MINIMUM_BAND_5 = -1.000","    RADIANCE_MINIMUM_BAND_5 = -30.07432","    RADIANCE_MINIMUM_BAND_5 = -29.61442",
,"    RADIANCE_MAXIMUM_BAND_6 = 165.600",,"    RADIANCE_MAXIMUM_BAND_6 = 15.303",,"    RADIANCE_MAXIMUM_BAND_6 = 90.56890","    RADIANCE_MAXIMUM_BAND_6 = 89.18391",
,"    RADIANCE_MINIMUM_BAND_6 = -0.100",,"    RADIANCE_MINIMUM_BAND_6 = 1.238",,"    RADIANCE_MINIMUM_BAND_6 = -7.47921","    RADIANCE_MINIMUM_BAND_6 = -7.36484",
,,,,"    RADIANCE_MAXIMUM_BAND_6_VCID_1 = 17.040",,,
,,,,"    RADIANCE_MINIMUM_BAND_6_VCID_1 = 0.000",,,
,,,,"    RADIANCE_MAXIMUM_BAND_6_VCID_2 = 12.650",,,
,,,,"    RADIANCE_MINIMUM_BAND_6_VCID_2 = 3.200",,,
,"    RADIANCE_MAXIMUM_BAND_7 = 154.600",,"    RADIANCE_MAXIMUM_BAND_7 = 16.500","    RADIANCE_MAXIMUM_BAND_7 = 10.800","    RADIANCE_MAXIMUM_BAND_7 = 30.52657","    RADIANCE_MAXIMUM_BAND_7 = 30.05975",
,"    RADIANCE_MINIMUM_BAND_7 = 0.000",,"    RADIANCE_MINIMUM_BAND_7 = -0.150","    RADIANCE_MINIMUM_BAND_7 = -0.350","    RADIANCE_MINIMUM_BAND_7 = -2.52089","    RADIANCE_MINIMUM_BAND_7 = -2.48234",
,,,,"    RADIANCE_MAXIMUM_BAND_8 = 243.100","    RADIANCE_MAXIMUM_BAND_8 = 673.50989","    RADIANCE_MAXIMUM_BAND_8 = 663.21051",
,,,,"    RADIANCE_MINIMUM_BAND_8 = -4.700","    RADIANCE_MINIMUM_BAND_8 = -55.61867","    RADIANCE_MINIMUM_BAND_8 = -54.76814",
,,,,,"    RADIANCE_MAXIMUM_BAND_9 = 142.33081","    RADIANCE_MAXIMUM_BAND_9 = 140.15428",
,,,,,"    RADIANCE_MINIMUM_BAND_9 = -11.75373","    RADIANCE_MINIMUM_BAND_9 = -11.57399",
,,,,,"    RADIANCE_MAXIMUM_BAND_10 = 22.00180",,"    RADIANCE_MAXIMUM_BAND_10 = 22.00180"
,,,,,"    RADIANCE_MINIMUM_BAND_10 = 0.10033",,"    RADIANCE_MINIMUM_BAND_10 = 0.10033"
,,,,,"    RADIANCE_MAXIMUM_BAND_11 = 22.00180",,"    RADIANCE_MAXIMUM_BAND_11 = 22.00180"
,,,,,"    RADIANCE_MINIMUM_BAND_11 = 0.10033",,"    RADIANCE_MINIMUM_BAND_11 = 0.10033"
,"  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE","  END_GROUP = LEVEL1_MIN_MAX_RADIANCE"
,"  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  GROUP = LEVEL1_MIN_MAX_PIXEL_VALUE"
,,"    REFLECTANCE_MAXIMUM_BAND_1 = 0.404911","    REFLECTANCE_MAXIMUM_BAND_1 = 0.311677","    REFLECTANCE_MAXIMUM_BAND_1 = 0.296910","    REFLECTANCE_MAXIMUM_BAND_1 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_1 = 1.210700",
,,"    REFLECTANCE_MINIMUM_BAND_1 = 0.006805","    REFLECTANCE_MINIMUM_BAND_1 = -0.002455","    REFLECTANCE_MINIMUM_BAND_1 = -0.009608","    REFLECTANCE_MINIMUM_BAND_1 = -0.099980","    REFLECTANCE_MINIMUM_BAND_1 = -0.099980",
,,"    REFLECTANCE_MAXIMUM_BAND_2 = 0.334306","    REFLECTANCE_MAXIMUM_BAND_2 = 0.651434","    REFLECTANCE_MAXIMUM_BAND_2 = 0.334034","    REFLECTANCE_MAXIMUM_BAND_2 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_2 = 1.210700",
,,"    REFLECTANCE_MINIMUM_BAND_2 = 0.007673","    REFLECTANCE_MINIMUM_BAND_2 = -0.005069","    REFLECTANCE_MINIMUM_BAND_2 = -0.010879","    REFLECTANCE_MINIMUM_BAND_2 = -0.099980","    REFLECTANCE_MINIMUM_BAND_2 = -0.099980",
,,"    REFLECTANCE_MAXIMUM_BAND_3 = 0.370297","    REFLECTANCE_MAXIMUM_BAND_3 = 0.556239","    REFLECTANCE_MAXIMUM_BAND_3 = 0.316333","    REFLECTANCE_MAXIMUM_BAND_3 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_3 = 1.210700",
,,"    REFLECTANCE_MINIMUM_BAND_3 = 0.013060","    REFLECTANCE_MINIMUM_BAND_3 = -0.002465","    REFLECTANCE_MINIMUM_BAND_3 = -0.010344","    REFLECTANCE_MINIMUM_BAND_3 = -0.099980","    REFLECTANCE_MINIMUM_BAND_3 = -0.099980",
,"    REFLECTANCE_MAXIMUM_BAND_4 = 0.396147","    REFLECTANCE_MAXIMUM_BAND_4 = 0.472041","    REFLECTANCE_MAXIMUM_BAND_4 = 0.671638","    REFLECTANCE_MAXIMUM_BAND_4 = 0.710255","    REFLECTANCE_MAXIMUM_BAND_4 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_4 = 1.210700",
,"    REFLECTANCE_MINIMUM_BAND_4 = -0.030960","    REFLECTANCE_MINIMUM_BAND_4 = 0.016199","    REFLECTANCE_MINIMUM_BAND_4 = -0.004589","    REFLECTANCE_MINIMUM_BAND_4 = -0.015024","    REFLECTANCE_MINIMUM_BAND_4 = -0.099980","    REFLECTANCE_MINIMUM_BAND_4 = -0.099980",
,"    REFLECTANCE_MAXIMUM_BAND_5 = 0.337395",,"    REFLECTANCE_MAXIMUM_BAND_5 = 0.452334","    REFLECTANCE_MAXIMUM_BAND_5 = 0.442220","    REFLECTANCE_MAXIMUM_BAND_5 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_5 = 1.210700",
,"    REFLECTANCE_MINIMUM_BAND_5 = -0.000205",,"    REFLECTANCE_MINIMUM_BAND_5 = -0.005542","    REFLECTANCE_MINIMUM_BAND_5 = -0.014238","    REFLECTANCE_MINIMUM_BAND_5 = -0.099980","    REFLECTANCE_MINIMUM_BAND_5 = -0.099980",
,"    REFLECTANCE_MAXIMUM_BAND_6 = 0.409519",,,,"    REFLECTANCE_MAXIMUM_BAND_6 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_6 = 1.210700",
,"    REFLECTANCE_MINIMUM_BAND_6 = -0.000247",,,,"    REFLECTANCE_MINIMUM_BAND_6 = -0.099980","    REFLECTANCE_MINIMUM_BAND_6 = -0.099980",
,"    REFLECTANCE_MAXIMUM_BAND_7 = 0.575530",,"    REFLECTANCE_MAXIMUM_BAND_7 = 0.629861","    REFLECTANCE_MAXIMUM_BAND_7 = 0.418812","    REFLECTANCE_MAXIMUM_BAND_7 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_7 = 1.210700",
,"    REFLECTANCE_MINIMUM_BAND_7 = 0.000000",,"    REFLECTANCE_MINIMUM_BAND_7 = -0.005726","    REFLECTANCE_MINIMUM_BAND_7 = -0.013573","    REFLECTANCE_MINIMUM_BAND_7 = -0.099980","    REFLECTANCE_MINIMUM_BAND_7 = -0.099980",
,,,,"    REFLECTANCE_MAXIMUM_BAND_8 = 0.581496","    REFLECTANCE_MAXIMUM_BAND_8 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_8 = 1.210700",
,,,,"    REFLECTANCE_MINIMUM_BAND_8 = -0.011242","    REFLECTANCE_MINIMUM_BAND_8 = -0.099980","    REFLECTANCE_MINIMUM_BAND_8 = -0.099980",
,,,,,"    REFLECTANCE_MAXIMUM_BAND_9 = 1.210700","    REFLECTANCE_MAXIMUM_BAND_9 = 1.210700",
,,,,,"    REFLECTANCE_MINIMUM_BAND_9 = -0.099980","    REFLECTANCE_MINIMUM_BAND_9 = -0.099980",
,"  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE","  END_GROUP = LEVEL1_MIN_MAX_REFLECTANCE",
